station,time,item,value,unit
東石站,10,乙烷,5.75,ppb
東石站,10,乙烯,0.87,ppb
東石站,10,丙烷,4.92,ppb
東石站,10,丙烯,0,ppb
東石站,10,異丁烷,1.87,ppb
東石站,10,正丁烷,3.49,ppb
東石站,10,乙炔,1.5,ppb
東石站,10,反2-丁烯,0,ppb
東石站,10,1-丁烯,0.53,ppb
東石站,10,順2-丁烯,0,ppb
東石站,10,環戊烷,0.21,ppb
東石站,10,異戊烷,0,ppb
東石站,10,正戊烷,0.93,ppb
東石站,10,反2-戊烯,0,ppb
東石站,10,1-戊烯,0,ppb
東石站,10,順2-戊烯,0,ppb
東石站,10,2-2-二甲基丁烷,0.14,ppb
東石站,10,2-3-二甲基丁烷,0.46,ppb
東石站,10,2-甲基戊烷,0,ppb
東石站,10,3-甲基戊烷,0,ppb
東石站,10,異戊二烯,0.22,ppb
東石站,10,正己烷,0.19,ppb
東石站,10,甲基環戊烷,0,ppb
東石站,10,2-4-二甲基戊烷,0,ppb
東石站,10,苯,1.9,ppb
東石站,10,環己烷,0,ppb
東石站,10,2-甲基己烷,0,ppb
東石站,10,2-3-二甲基戊烷,0,ppb
東石站,10,3-Methylhexane,0,ppb
東石站,10,2-2-4-三甲基戊烷,0,ppb
東石站,10,正庚烷,0,ppb
東石站,10,甲基環己烷,0.15,ppb
東石站,10,2-3-4-三甲基戊烷,0,ppb
東石站,10,甲苯,4.61,ppb
東石站,10,2-甲基庚烷,0.02,ppb
東石站,10,3-甲基庚烷,0,ppb
東石站,10,正辛烷,0,ppb
東石站,10,乙苯,0.42,ppb
東石站,10,間-對二甲苯,0.81,ppb
東石站,10,苯乙烯,0,ppb
東石站,10,鄰二甲苯,0.26,ppb
東石站,10,正壬烷,0.01,ppb
東石站,10,異丙基苯,0,ppb
東石站,10,正丙基苯,0,ppb
東石站,10,間-乙基甲苯,0.19,ppb
東石站,10,對-乙基甲苯,0.11,ppb
東石站,10,1-3-5-三甲基苯,0.01,ppb
東石站,10,鄰-乙基甲苯,0.08,ppb
東石站,10,1-2-4-三甲基苯,0.29,ppb
東石站,10,葵烷,0,ppb
